Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:08:25,25.4934765625,118671,41.92394702210164,1002.2377963249116,92.09019897827399,6,9,9,6,9,9,1245,333,48,6,0,0
2025-02-28 16:08:26,25.46671875,120795,41.93298012232047,1002.2373257337047,92.09415179338534,6,9,9,6,9,9,1245,333,48,6,0,0
2025-02-28 16:08:27,25.432734375,119936,41.96526944241915,1002.2482538714596,92.00235933122646,6,9,9,6,9,9,1245,333,48,6,0,0
2025-02-28 16:08:28,25.4130078125,119936,42.035273277693655,1002.2431372559421,92.04533697702983,7,10,10,7,10,10,1326,353,50,7,0,0
2025-02-28 16:08:29,25.395234375,121316,42.11756610429975,1002.2446906670683,92.03228888908033,7,10,10,7,10,10,1326,353,50,7,0,0
2025-02-28 16:08:30,25.3630078125,121490,42.192244381991095,1002.2407394910634,92.06547736125776,7,10,10,7,10,10,1326,353,50,7,0,0
2025-02-28 16:08:30,25.3333203125,122017,42.25518258618062,1002.2497016241686,91.9901987852694,7,11,11,7,11,11,1425,382,50,9,0,0
2025-02-28 16:08:31,25.3059765625,122727,42.294291567032346,1002.2571142661695,91.92793576856464,7,11,11,7,11,11,1425,382,50,9,0,0
2025-02-28 16:08:32,25.2700390625,123085,42.29626958883438,1002.2471950618329,92.0112529192568,7,11,11,7,11,11,1425,382,50,9,0,0
2025-02-28 16:08:33,25.2485546875,123626,42.26974226063027,1002.2410129971961,92.06318000367331,7,10,10,7,10,10,1362,373,50,9,0,0
2025-02-28 16:08:34,25.233125,124815,42.225827722703734,1002.241009185302,92.06321202226756,7,10,10,7,10,10,1362,373,50,9,0,0
2025-02-28 16:08:35,25.2075390625,124907,42.18680846266564,1002.2441566408404,92.03677451313618,7,10,10,7,10,10,1362,373,50,9,0,0
2025-02-28 16:08:36,25.1919140625,125839,42.173007615917165,1002.2491413067365,91.99490522677303,7,10,10,7,10,10,1362,373,49,9,0,0
2025-02-28 16:08:37,25.1809765625,125652,42.165756943469496,1002.2510383606515,91.97897074400711,7,10,10,7,10,10,1362,373,49,9,0,0
2025-02-28 16:08:37,25.1583203125,125558,42.19934650943641,1002.2447358633893,92.0319092566826,6,9,9,6,9,9,1362,373,49,9,0,0
2025-02-28 16:08:38,25.1473828125,126121,42.24028271793677,1002.2307178726819,92.14965586398172,7,10,10,7,10,10,1416,391,50,9,0,0
2025-02-28 16:08:39,25.1360546875,127358,42.30528855025323,1002.2249134995095,92.19841111966112,7,10,10,7,10,10,1416,391,50,9,0,0
2025-02-28 16:08:40,25.1157421875,126784,42.36930531584595,1002.2241376507371,92.20492806898228,7,10,10,7,10,10,1416,391,50,9,0,0
2025-02-28 16:08:41,25.106953125,127551,42.44670575956862,1002.2241754014115,92.20461097200018,7,10,10,7,10,10,1440,391,46,9,0,0
2025-02-28 16:08:42,25.097578125,128719,42.505972459279725,1002.2285763958045,92.16764369748199,7,10,10,7,10,10,1440,391,46,9,0,0
2025-02-28 16:08:43,25.07609375,127551,42.545784117702,1002.217076234757,92.2642425093932,7,10,10,7,10,10,1440,391,46,9,0,0
2025-02-28 16:08:43,25.0645703125,130108,42.58069362346339,1002.2162594290095,92.2711035313394,6,9,9,6,9,9,1428,382,44,8,0,0
2025-02-28 16:08:44,25.054609375,130208,42.597675715562374,1002.2055747886689,92.36085301301803,6,9,9,6,9,9,1428,382,44,8,0,0
2025-02-28 16:08:45,25.03546875,130008,42.577403068503216,1002.1907627109874,92.48527367149094,6,9,9,6,9,9,1428,382,44,8,0,0
2025-02-28 16:08:46,25.026484375,131630,42.570352018235546,1002.1604313489423,92.7400601330176,7,9,9,7,9,9,1476,397,43,5,0,0
2025-02-28 16:08:47,25.0190625,132665,42.55744324784247,1002.1149304571356,93.122283864227,7,9,9,7,9,9,1476,397,43,5,0,0
2025-02-28 16:08:48,24.9997265625,130410,42.54922417229492,1002.0662183552131,93.53149848164573,7,9,9,7,9,9,1476,397,43,5,0,0
2025-02-28 16:08:49,24.992109375,132042,42.542329689647374,1002.0151030814269,93.96091868778058,7,10,10,7,10,10,1515,417,49,5,0,0
2025-02-28 16:08:49,24.985859375,133084,42.5355900701215,1001.9626475956175,94.40161647706233,7,10,10,7,10,10,1515,417,49,5,0,0
2025-02-28 16:08:50,24.9649609375,132042,42.53926392915536,1001.8972913552067,94.9507243792811,7,10,10,7,10,10,1515,417,49,5,0,0
2025-02-28 16:08:51,24.9565625,133610,42.53228231483868,1001.8272501708484,95.53922628603675,7,9,9,7,9,9,1524,419,49,4,0,0
2025-02-28 16:08:52,24.9512890625,134035,42.5075559408003,1001.7675277978974,96.04105351494725,7,9,9,7,9,9,1524,419,49,4,0,0
2025-02-28 16:08:53,24.9344921875,134462,42.49359709477099,1001.7016895759697,96.59429826086676,7,9,9,7,9,9,1524,419,49,4,0,0
2025-02-28 16:08:54,24.9298046875,133822,42.49306842224171,1001.6305374504201,97.1922293410743,7,9,9,7,9,9,1509,417,47,3,0,0
2025-02-28 16:08:55,24.924140625,135108,42.4924296430977,1001.5560521987885,97.8182073900983,7,9,9,7,9,9,1509,417,47,3,0,0
2025-02-28 16:08:55,24.901875,132979,42.49595031053667,1001.486749755598,98.4006626914703,7,9,9,7,9,9,1509,417,47,3,0,0
2025-02-28 16:08:56,24.895625,134355,42.53143793316804,1001.4148635401283,99.00486790002276,7,8,8,7,8,8,1458,396,43,0,0,0
2025-02-28 16:08:57,24.8891796875,135760,42.542776429502396,1001.360339369935,99.46316816008276,7,8,8,7,8,8,1458,396,43,0,0,0
2025-02-28 16:08:58,24.8751171875,134784,42.56532291359862,1001.3165738206898,99.83105197396107,7,8,8,7,8,8,1458,396,43,0,0,0
2025-02-28 16:08:59,24.870625,135979,42.5708496457132,1001.2899274469553,100.05504204924806,7,9,9,7,9,9,1473,401,46,1,0,0
2025-02-28 16:09:00,24.8669140625,136529,42.58853334042048,1001.2680691357449,100.23878715631726,7,9,9,7,9,9,1473,401,46,1,0,0
2025-02-28 16:09:01,24.8485546875,137419,42.58042609566652,1001.2456903867269,100.42691052711487,7,9,9,7,9,9,1473,401,46,1,0,0
2025-02-28 16:09:01,24.8387890625,139003,42.597426545911944,1001.2335611055413,100.52887481022198,7,9,9,7,9,9,1494,414,47,1,0,0
2025-02-28 16:09:02,24.83234375,139809,42.578596161390195,1001.2143868486937,100.6900644199545,7,9,9,7,9,9,1494,414,47,1,0,0
2025-02-28 16:09:03,24.81359375,140041,42.59458187914258,1001.2108204680542,100.72004570131861,7,9,9,7,9,9,1494,414,47,1,0,0
2025-02-28 16:09:04,24.809296875,141807,42.600131161377846,1001.2056955105576,100.76312953006041,7,9,10,7,9,10,1518,422,54,2,0,0
2025-02-28 16:09:05,24.80734375,141332,42.60594519992534,1001.2078642109587,100.74489795869127,7,9,10,7,9,10,1518,422,54,2,0,0
2025-02-28 16:09:06,24.793671875,140860,42.59836727031245,1001.2106743981698,100.72127366023155,7,9,10,7,9,10,1518,422,54,2,0,0
2025-02-28 16:09:07,24.79171875,142766,42.61021570437638,1001.2093086563765,100.73275498530967,7,9,9,7,9,9,1443,406,51,2,0,0
2025-02-28 16:09:08,24.79171875,143251,42.604181144715675,1001.2110757759169,100.7178994169238,7,9,9,7,9,9,1443,406,51,2,0,0
2025-02-28 16:09:08,24.779609375,143130,42.5786787586549,1001.2075557914765,100.74749074078699,7,9,9,7,9,9,1443,406,51,2,0,0
2025-02-28 16:09:09,24.7790234375,143985,42.57861265003237,1001.2048488351626,100.77024726827251,7,9,9,7,9,9,1485,416,56,2,0,0
2025-02-28 16:09:10,24.77921875,143495,42.57863468619615,1001.2086962953754,100.73790289933977,7,9,9,7,9,9,1485,416,56,2,0,0
2025-02-28 16:09:11,24.7692578125,143251,42.553379486321525,1001.2033208207243,100.78309282544703,7,9,9,7,9,9,1485,416,56,2,0,0
2025-02-28 16:09:12,24.7735546875,145099,42.541799521132745,1001.2066791392144,100.75486047425149,7,9,10,7,9,10,1542,426,57,3,1,0
2025-02-28 16:09:13,24.77921875,145224,42.53640612283429,1001.2051621251953,100.76761353528268,8,10,11,8,10,11,1542,426,57,3,1,0
2025-02-28 16:09:14,24.77453125,143495,42.52984596716916,1001.2170809657968,100.66741600225065,8,10,11,8,10,11,1542,426,57,3,1,0
2025-02-28 16:09:14,24.7770703125,145600,42.53013216879034,1001.2246879704288,100.60346707420416,8,10,11,8,10,11,1539,422,56,3,1,0
2025-02-28 16:09:15,24.76515625,147123,42.48657421711671,1001.2267814630115,100.5858680207174,8,10,11,8,10,11,1539,422,56,3,1,0
2025-02-28 16:09:16,24.7346875,147123,42.41683136046189,1001.2238476349878,100.6105314058601,8,10,11,8,10,11,1539,422,56,3,1,0
2025-02-28 16:09:17,24.71359375,150000,42.37830231693229,1001.2412502405482,100.46423630986273,9,11,12,9,11,12,1584,435,61,3,1,0
2025-02-28 16:09:18,24.6899609375,149469,42.27927107829873,1001.238674736466,100.4858871687932,9,11,12,9,11,12,1584,435,61,3,1,0
2025-02-28 16:09:19,24.656953125,149204,42.20934932079572,1001.2457910261354,100.42606451041868,9,11,12,9,11,12,1584,435,61,3,1,0
2025-02-28 16:09:20,24.632734375,149204,42.128414715965675,1001.2511029859664,100.3814100660246,9,11,12,9,11,12,1632,448,63,3,1,0
2025-02-28 16:09:20,24.614765625,151754,42.13242275513208,1001.2576066481936,100.32673795911165,9,11,12,9,11,12,1632,448,63,3,1,0
2025-02-28 16:09:21,24.5899609375,150535,42.23194647548058,1001.2690394139729,100.23063074473971,9,11,12,9,11,12,1632,448,63,3,1,0
2025-02-28 16:09:22,24.58625,151074,42.1894024149659,1001.2878169939326,100.07278277572141,9,12,13,9,12,13,1683,463,68,4,2,0
2025-02-28 16:09:23,24.599140625,153270,42.30522150372199,1001.3473659332891,99.57221872649546,9,12,13,9,12,13,1683,463,68,4,2,0
2025-02-28 16:09:24,24.614765625,152301,42.294929112455314,1001.4943369525193,98.33689418467839,9,12,13,9,12,13,1683,463,68,4,2,0
2025-02-28 16:09:25,24.650703125,152715,42.22670739197138,1001.5502442033583,97.86701967934042,9,11,12,9,11,12,1653,449,68,3,2,0
2025-02-28 16:09:26,24.698359375,152027,42.430828368036465,1001.6797327120635,96.77881039186508,9,11,12,9,11,12,1653,449,68,3,2,0
