Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-21 16:30:38,19.517109375,203853,43.27260722335358,1008.9040892597576,36.24567006260384,1,4,5,1,4,5,465,133,26,6,1,1
2025-02-21 16:30:39,19.5063671875,203727,43.259299724000066,1008.9033574608435,36.25178403236739,1,4,5,1,4,5,465,133,26,6,1,1
2025-02-21 16:30:39,19.5063671875,203853,43.295706200619435,1008.9033574608435,36.25178403236739,2,3,3,2,3,3,450,131,23,3,0,0
2025-02-21 16:30:40,19.5063671875,203853,43.30784348060266,1008.905070499677,36.237472090510956,2,3,3,2,3,3,450,131,23,3,0,0
2025-02-21 16:30:41,19.4938671875,201730,43.33682427646915,1008.9014152041273,36.268011046859854,2,3,3,2,3,3,450,131,23,3,0,0
2025-02-21 16:30:42,19.4923046875,203601,43.367005347580495,1008.9022430044944,36.26109500200932,2,3,3,2,3,3,450,133,23,2,0,0
2025-02-21 16:30:43,19.4907421875,204740,43.360763682867216,1008.906496785248,36.22555590387064,2,3,3,2,3,3,450,133,23,2,0,0
2025-02-21 16:30:44,19.476484375,204359,43.377417376070746,1008.9050565291155,36.2375888104135,2,3,3,2,3,3,450,133,23,2,0,0
2025-02-21 16:30:45,19.4704296875,204359,43.394969591075444,1008.9069788781993,36.22152816545721,1,3,3,1,3,3,369,111,23,2,0,0
2025-02-21 16:30:45,19.464375,204867,43.40645115704849,1008.91061395703,36.191158249415,1,3,3,1,3,3,369,111,23,2,0,0
2025-02-21 16:30:46,19.445625,203727,43.37404316269038,1008.9051275049881,36.23699582803168,1,3,3,1,3,3,369,111,23,2,0,0
2025-02-21 16:30:47,19.4344921875,205506,43.40318234552024,1008.9105941614126,36.191323635198344,1,3,3,1,3,3,384,116,26,2,0,0
2025-02-21 16:30:48,19.421796875,206279,43.40786572075939,1008.8980462954221,36.29615740178065,1,3,3,1,3,3,384,116,26,2,0,0
2025-02-21 16:30:49,19.39640625,205763,43.3929465928863,1008.891790125452,36.34842627457099,1,3,3,1,3,3,384,116,26,2,0,0
2025-02-21 16:30:50,19.3817578125,206408,43.37313371256108,1008.8999710615118,36.28007647301775,1,3,3,1,3,3,393,118,30,2,0,0
2025-02-21 16:30:51,19.368671875,207057,43.34135637902425,1008.9004732193415,36.27588107677539,1,3,3,1,3,3,393,118,30,2,0,0
2025-02-21 16:30:51,19.34328125,206150,43.34465344503512,1008.8942114792978,36.32819638447681,1,3,3,1,3,3,393,118,30,2,0,0
2025-02-21 16:30:52,19.329609375,205763,43.343161142471885,1008.8937369890525,36.332160645230715,1,3,3,1,3,3,342,103,27,3,0,0
2025-02-21 16:30:53,19.3165234375,204359,43.341733012306065,1008.8993738141462,36.28506631946046,1,3,3,1,3,3,342,103,27,3,0,0
2025-02-21 16:30:54,19.2883984375,203099,43.381147478433896,1008.9005461261941,36.27527195938847,1,3,3,1,3,3,342,103,27,3,0,0
2025-02-21 16:30:55,19.27375,205378,43.42811253279245,1008.8950190887041,36.32144899050004,1,3,3,1,3,3,369,106,29,2,0,0
2025-02-21 16:30:56,19.2626171875,204740,43.4876203014248,1008.8919140033804,36.347391300195696,1,3,3,1,3,3,369,106,29,2,0,0
2025-02-21 16:30:57,19.2425,204613,43.564391975437914,1008.892700683841,36.340818750654485,1,3,3,1,3,3,369,106,29,2,0,0
2025-02-21 16:30:57,19.235859375,204995,43.624437087371916,1008.8919292407345,36.34726399526946,1,3,3,1,3,3,354,100,23,2,0,0
2025-02-21 16:30:58,19.2317578125,202973,43.67870117980814,1008.8936686054689,36.33273197502502,1,3,3,1,3,3,354,100,23,2,0,0
2025-02-21 16:30:59,19.2161328125,201854,43.71347181850589,1008.8848018921889,36.406811679462294,1,3,3,1,3,3,354,100,23,2,0,0
2025-02-21 16:31:00,19.2118359375,205506,43.75557547392252,1008.8810792369337,36.43791391379306,1,2,2,1,2,2,336,92,19,1,0,0
2025-02-21 16:31:01,19.2079296875,204995,43.79164794776858,1008.881430793077,36.434976710213206,1,2,2,1,2,2,336,92,19,1,0,0
2025-02-21 16:31:02,19.19328125,204613,43.82654662056352,1008.8776118567896,36.46688344589545,1,2,2,1,2,2,336,92,19,1,0,0
2025-02-21 16:31:03,19.18625,206408,43.83794460725382,1008.883038183652,36.42154719197406,2,3,3,2,3,3,417,117,22,1,0,0
2025-02-21 16:31:04,19.1770703125,206021,43.879540309652796,1008.8883147605669,36.37746226868927,2,3,3,2,3,3,417,117,22,1,0,0
2025-02-21 16:31:04,19.162421875,205506,43.89010296028678,1008.8827817146707,36.42368995245052,2,3,3,2,3,3,417,117,22,1,0,0
2025-02-21 16:31:05,19.1622265625,204995,43.920521803031974,1008.8893053386032,36.36918617462114,2,3,3,2,3,3,447,124,25,1,0,0
2025-02-21 16:31:06,19.1637890625,206537,43.93896080169169,1008.8799195536963,36.44760291479081,2,3,3,2,3,3,447,124,25,1,0,0
2025-02-21 16:31:07,19.1516796875,204995,43.955895519286464,1008.8768974618257,36.47285213744894,2,3,3,2,3,3,447,124,25,1,0,0
2025-02-21 16:31:08,19.15265625,205378,43.98645516920895,1008.8785219269962,36.45927991411548,2,3,3,2,3,3,426,114,24,1,0,0
2025-02-21 16:31:09,19.15421875,206667,44.00490138733773,1008.8742726446911,36.49478222603868,2,3,3,2,3,3,426,114,24,1,0,0
2025-02-21 16:31:10,19.1446484375,205763,44.02821405611282,1008.8652013349969,36.570572480651435,2,3,3,2,3,3,426,114,24,1,0,0
2025-02-21 16:31:10,19.145234375,206537,44.05874371439929,1008.8730243419556,36.505211688635235,2,3,3,2,3,3,471,126,26,2,1,0
2025-02-21 16:31:11,19.147578125,207448,44.0650961029202,1008.8734988946604,36.50124684014163,2,3,3,2,3,3,471,126,26,2,1,0
2025-02-21 16:31:12,19.13859375,206279,44.10067067352156,1008.8739624162351,36.49737415728005,2,3,3,2,3,3,471,126,26,2,1,0
2025-02-21 16:31:13,19.1399609375,206150,44.100821675940196,1008.874524625489,36.49267694928918,2,3,4,2,3,4,510,142,29,3,1,0
2025-02-21 16:31:14,19.1411328125,207318,44.1131417135709,1008.8833222954793,36.41917348011213,2,3,4,2,3,4,510,142,29,3,1,0
2025-02-21 16:31:15,19.131953125,207579,44.11212765105994,1008.8749002756654,36.48953842687309,2,3,4,2,3,4,510,142,29,3,1,0
