Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745018062.74,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018067.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018072.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018077.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018082.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018087.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018092.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018097.7,0,0,24.4,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018102.73,0,0,33.0,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018107.78,0,0,30.6,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018112.74,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018117.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018122.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018127.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018132.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018137.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018142.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018147.7,0,0,33.2,4.0,5.0,5.0,20.636992187500002,47.75693476370205,1006.2279871737758,58.62874102549292,786791.4
1745018152.74,0,0,33.2,4.0,5.0,5.0,19.717578125000003,51.168883488923804,1004.2994783296772,74.78714091483438,813327.2
1745018157.76,0,0,30.8,4.0,5.0,5.0,19.6727734375,51.121158481980046,1004.2183909033859,75.4671385803206,816178.2
1745018162.77,0,0,25.4,4.0,5.0,5.0,19.6376953125,51.2348076904839,1004.1661865112935,75.90494678707616,819232.6
1745018167.77,0,0,32.8,4.0,5.0,5.0,19.6563671875,51.23352435530275,1004.1018652623159,76.4444017153451,825518.8
1745018172.74,0,0,32.8,4.0,5.0,5.0,19.632968749999996,51.2884307514484,1004.0041419285706,77.2640423611705,826731.2
1745018177.74,0,0,32.8,4.0,5.0,5.0,19.609609374999998,51.35540515570477,1003.9216256810192,77.95618755670908,830479.8
1745018182.73,0,0,32.8,4.0,5.0,5.0,19.617265624999998,51.43955310664533,1003.8578690221769,78.49100852168284,833233.6
1745018187.76,0,0,32.8,3.4,5.8,6.4,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018192.72,0,0,32.8,3.4,5.8,6.4,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018197.74,0,0,32.8,4.2,7.8,8.0,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018202.7,0,0,32.8,4.2,7.8,8.0,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018207.75,0,0,33.6,4.0,8.0,8.2,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018212.73,0,0,38.2,4.0,8.0,8.2,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018217.78,0,0,37.0,3.0,6.6,6.6,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018222.71,0,0,37.0,3.0,6.6,6.6,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018227.73,0,0,37.0,3.0,6.0,6.0,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018232.71,0,0,37.0,3.0,6.0,6.0,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018237.73,0,0,37.0,3.0,5.4,5.4,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018242.7,0,0,37.0,3.0,5.4,5.4,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018247.73,0,0,37.0,2.0,4.6,4.6,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018252.7,0,0,37.0,2.0,4.6,4.6,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018257.73,0,0,37.0,2.0,3.8,3.8,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018262.75,0,0,36.8,2.0,3.8,3.8,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018267.76,0,0,39.6,2.0,3.0,3.0,19.5939453125,51.515028966765136,1003.8043508055141,78.93996595835824,833952.2
1745018272.75,0,0,39.6,2.0,3.0,3.0,20.7132421875,50.7840864004472,1003.504751487033,81.45362655994646,829201.6
1745018277.77,0,0,39.6,2.0,2.4,2.4,20.6049609375,50.32486438482566,1003.5171701399622,81.3494209947143,825617.0
1745018282.75,0,0,39.6,2.0,2.4,2.4,20.3724609375,50.01201295358544,1003.5058620770017,81.44430751309258,831189.2
1745018287.83,0,0,39.6,2.0,3.0,3.0,20.139999999999997,49.99534839792387,1003.509885249074,81.41054880009986,836009.2
